Doc ID,Filer Name,Member Name,State,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500014951,Ashley Shillingsburg,"Loebsack, David",IA,2,2016,"Las Vegas, NV",Original,1/5/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014952,Yuri Beckelman,"Takano, Mark",CA,41,2016,"Las Vegas, NV",Original,1/5/2016,1/7/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014953,Logan Ferree,"Huffman, Jared",CA,2,2016,"Las Vegas, NV",Original,1/7/2016,1/9/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014954,Jim Billimoria,"Shuster, Bill",PA,9,2016,"Las Vegas, NV",Original,1/5/2016,1/7/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014955,Landon Zinda,"Emmer, Tom",MN,6,2016,"Las Vegas, NV",Original,1/7/2016,1/9/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014956,Madison Smith,"Hurd, Will",TX,23,2016,"Las Vegas, NV",Original,1/7/2016,1/10/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014957,Stephen Dwyer,"Hoyer, Steny",MD,5,2016,"Las Vegas, NV",Original,1/5/2016,1/7/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014958,Sarah Moxley,"Olson, Pete",TX,22,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014959,Veronica Wong,"Issa, Darrell",CA,49,2016,"Las Vegas, NV",Original,1/7/2016,1/10/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014960,Norberto Salinas,"Conyers, John",MI,13,2016,"Las Vegas, NV",Original,1/6/2016,1/9/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014961,Kelley Hudak,"Scalise, Steve",LA,1,2016,"Las Vegas, NV",Original,1/5/2016,1/7/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014962,Anna Hevia,"Cardenas, Tony",CA,29,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014963,Chris Grieco,"Goodlatte, Bob",VA,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014964,Alexis Moore,"Johnson, Henry",GA,4,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014965,Adam Wood,"Ellmers, Renee L.",NC,2,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014966,Matt Stross,"Holding, George",NC,2,2016,"Las Vegas, NV",Original,1/7/2016,1/10/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014967,Caroline Lynch,"Goodlatte, Bob",VA,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014968,Jeffrey Freeland,"Collins, Chris",NY,27,2016,"Las Vegas, NV",Original,1/7/2016,1/10/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014969,Michael Hook,"Collins, Chris",NY,27,2016,"Las Vegas, NV",Original,1/4/2016,1/7/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014970,Eric Zulkosky,"Scalise, Steve",LA,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500014971,Elise Conner,"Johnson, Bill",OH,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014972,David Rosenbaum,"Titus, Dina",NV,1,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association
500014973,Peter Stehouwer,"Long, Billy",MO,7,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014974,Brittany Lundberg,"DeFazio, Peter",OR,4,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014975,Benjamin Elleson,"Long, Billy",MO,7,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014976,Jason Everett,"Conyers, John",MI,13,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014977,Alexandra (Sasha) Moss,"Farenthold, Blake",TX,27,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014978,Ryan K. Zinke,"Zinke, Ryan",MT,0,2016,"Las Vegas, NV",Original,1/3/2016,1/4/2016,"CES Government and the Government Business Executive Forum, Projects of Upson Technoogy Group"
500014979,Scott Hommel,"Zinke, Ryan",MT,0,2016,"Las Vegas, NV",Original,1/3/2016,1/4/2016,"CES Government and the Government Business Executive Forum, Projects of Upson Technoogy Group"
500014980,Thomas Ullrich,"Conyers, John",MI,13,2016,"Las Vegas, NV",Original,1/6/2016,1/9/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014981,Hugh Nathanial Halpern,"Sessions, Pete",TX,32,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500014982,William E. Smith,"Rogers, Mike",AL,3,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500014983,Michelle Ash,"Pallone, Frank",NJ,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014984,David Goldman,"Pallone, Frank",NJ,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014985,Vishal Amin,"Goodlatte, Bob",VA,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014986,Jeffrey Carroll,"Pallone, Frank",NJ,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014987,Jennifer Y. Brown,"Smith, Lamar",TX,21,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500014988,Graham Dufault,"Upton, Fred",MI,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014989,Andrew Duberstein,"Upton, Fred",MI,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014990,Melissa Froelich,"Upton, Fred",MI,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014991,Kelsey Guyselman,"Upton, Fred",MI,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014992,Grace Koh,"Upton, Fred",MI,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014993,Tim Pataki,"Upton, Fred",MI,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014994,David Redl,"Upton, Fred",MI,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014995,Charlotte Savercool,"Upton, Fred",MI,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014996,Olivia Trusty,"Upton, Fred",MI,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014997,James Tyler Grimm,"Issa, Darrell",CA,49,2016,"Las Vegas, NV",Original,1/6/2016,1/9/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014998,Joseph Russo,"Goodlatte, Bob",VA,6,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500014999,John Barton Reising,"Scalise, Steve",LA,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015000,Chris Bertram,"Shuster, Bill",PA,9,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015001,Austin Carson,"McCaul, Michael",TX,10,2016,"Las Vegas, NV",Original,1/6/2016,1/8/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500015002,Paul Nagle,"Upton, Fred",MI,6,2016,"Las Vegas, NV",Original,1/7/2016,1/9/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500015003,Brett Horton,"Scalise, Steve",LA,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015005,Chris Bond,"Scalise, Steve",LA,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015006,Parker Hamilton Poling,"McHenry, Patrick",NC,10,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015020,Ann Bradbury,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015021,Brendan Buck,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015022,Austin Smythe,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015023,Michael Ricci,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015024,Kelly Craven,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015025,Joyce Meyer,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015027,Dave Hoppe,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015028,Ben Jordon,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015029,Patrick Leopold,"Jenkins, Lynn",KS,2,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015030,Burak Guvensoylar,"Forbes, J. Randy",VA,4,2016,"Las Vegas, NV",Original,1/7/2016,1/9/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500015031,Rachel Kopec,"Flores, Bill",TX,17,2016,"Las Vegas, NV",Original,1/7/2016,1/9/2016,Consumer Technology Association (formerly known as the Consumer Electronics Association)
500015032,Jonathan Towers,"Miller, Jeff",FL,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015033,Tom Andrews,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015034,Caleb Smith,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015035,Nicole Foltz,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015036,AshLee Strong,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015037,Clifford C. Stoddard,"Dent, Charles",PA,15,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015038,Andy Speth,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015039,Mark Epley,"Ryan, Paul",WI,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015040,Keith Ellison,"Ellison, Keith",MN,5,2016,"New York, NY",Original,1/16/2016,1/17/2016,ABC News
500015041,Sean Moran,"Miller, Candice S.",MI,10,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015042,Gary Andres,"Upton, Fred",MI,6,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015043,Andrew Kent,"Dent, Charles",PA,15,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015044,William Hughes,"Scalise, Steve",LA,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015045,Matthew Bravo,"Scalise, Steve",LA,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015046,Martin Reiser,"Scalise, Steve",LA,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015047,Brandon Renz,"Foxx, Virginia",NC,5,2016,"Baltimore, MD",Original,1/13/2016,1/14/2016,The Congressional Institute
500015048,Shannon McGahn,"Hensarling, Jeb",TX,5,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015049,Brendan P. Shields,"McCaul, Michael",TX,10,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015050,Jeffrey S. Shockey,"Nunes, Devin",CA,22,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015051,Philip Kiko,"Gowdy, Trey",SC,4,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015052,Juliane Carter Sullivan,"Kline, John",MN,2,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015053,Amy Chang,"Royce, Edward",CA,39,2016,"Stockholm, Sweden",Original,1/13/2016,1/17/2016,German Marshall Fund of the United States
500015054,Martha VanLieshout,"Meadows, Mark",NC,11,2016,"Algiers, Algeria",Original,1/14/2016,1/21/2016,Defense Forum Foundation and the Algerian National Committee of Solidarity with the Sahrawi People (
