DocID,FilerName,MemberName,Sate,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500016686,Jonathan Lowe,"Chabot, Steve",OH,1,2017,"Las Vegas, NV",Original,1/6/2017,1/8/2017,Consumer Technology Association
500016687,Roy Schultheis,"Curbelo, Carlos",FL,26,2017,"Las Vegas, Nevada",Original,1/6/2017,1/8/2017,Consumer Technology Association
500016688,Daniel M. Harder,"Bishop, Mike",MI,8,2017,"Las Vegas, Nevada",Original,1/5/2017,1/7/2017,Consumer Technology Association
500016690,Bennie Thompson,"Thompson, Bennie",MS,2,2017,"Las Vegas, NV",Original,1/6/2017,1/7/2017,Consumer Technology Association
500016693,Brittany Lundberg,"DeFazio, Peter",OR,4,2017,"Las Vegas, NV",Original,1/5/2017,1/7/2017,Consumer Technology Association
500016694,Stoney Burke,"Hurd, Will",TX,23,2017,"Las Vegas, NV",Original,1/6/2017,1/8/2017,Consumer Technology Association
500016695,Rebecca Mark,"McMorris Rodgers, Cathy",WA,5,2017,"Las Vegas, NV",Original,1/6/2017,1/8/2017,Consumer Technology Association
500016696,Paul Balmer,"Blumenauer, Earl",OR,3,2017,"Las Vegas, Nevada",Original,1/5/2017,1/7/2017,Consumer Technology Association
500016697,Will Hurd,"Hurd, Will",TX,23,2017,"Las Vegas, NV",Original,1/6/2017,1/8/2017,Consumer Technology Association
500016701,Amy Murphy,"Barton, Joe",TX,6,2017,"Las Vegas, NV",Original,1/5/2017,1/7/2017,Consumer Technology Association
500016702,Samuel Negatu,"Cartwright, Matt",PA,17,2017,"Las Vegas, NV",Original,1/5/2017,1/7/2017,Consumer Technology Association
500016703,Alyssa Wootton,"Farenthold, Blake",TX,27,2017,"Las Vegas, Nevada",Original,1/5/2017,1/7/2017,Consumer Technology Association
500016704,Matt Stross,"Holding, George",NC,2,2017,"Las Vegas, Nevada",Original,1/6/2017,1/8/2017,Consumer Technology Association
500016705,Rachel Schwegman,"Latta, Robert",OH,5,2017,"Las Vegas, NV",Original,1/6/2017,1/8/2017,Consumer Technology Association
500016706,Robert Latta,"Latta, Robert",OH,5,2017,"Las Vegas, NV",Original,1/6/2017,1/8/2017,Consumer Technology Association
