Doc ID,Filer Name,Member Name,State,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500010879,Rachel Wolbers,"Farenthold, Blake",TX,27,2014,"Las Vegas, NV",Original,1/7/2014,1/10/2014,Consumer Electronics Association
500010880,Megan Spindel Jackson,"Guthrie, Brett",KY,2,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,Consumer Electronics Association
500010881,Kyle John Victor,"Matsui, Doris",CA,6,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,Consumer Electronics Association
500010882,Jason G. Everett,"Conyers, John",MI,13,2014,"Las Vegas, NV",Original,1/6/2014,1/8/2014,Consumer Electronics Association
500010883,Michael Hayes,"DeFazio, Peter",OR,4,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,Consumer Electronics Association
500010886,Sean C. Bonyun,"Upton, Fred",MI,6,2014,"Las Vegas, NV",Original,1/6/2014,1/8/2014,Consumer Electronics Association
500010887,Matthew Bravo,"Upton, Fred",MI,6,2014,"Las Vegas, NV",Original,1/6/2014,1/8/2014,Consumer Electronics Association
500010889,Kelsey Guyselman,"Upton, Fred",MI,6,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,CEA
500010890,David Redl,"Upton, Fred",MI,6,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,Consumer Electronics Association
500010892,Raymond Baum,"Walden, Greg",OR,2,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,Consumer Electronics Association
500010893,Scott Shiller,"Long, Billy",MO,7,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,Consumer Electronics Association
500010894,Sarah Whiting,"Olson, Pete",TX,22,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,Consumer Electronics Association
500010895,Andrew Jones,"Lujan, Ben",NM,3,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,Consumer Electronics Association
500010896,Joel David Grossman,"Eshoo, Anna",CA,18,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,Consumer Electronics Association
500010897,Rachel Wolbers,"Farenthold, Blake",TX,27,2014,"Las Vegas, NV",Amendment,1/7/2014,1/10/2014,Consumer Electronics Association
500010901,Grace Koh,"Upton, Fred",MI,6,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,Consumer Electronics Association
500010905,Joseph M. Lillis,"Long, Billy",MO,7,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,Consumer Electronics Association
500010906,Taylor Booth,"Whitfield, Ed",KY,1,2014,"Las Vegas, NV",Original,1/6/2014,1/8/2014,Consumer Electronics Association
500010907,Jaclyn Louis,"Marino, Tom",PA,10,2014,"Las Vegas, NV",Original,1/6/2014,1/9/2014,Consumer Electronics Association
500010908,Mark Ratner,"Upton, Fred",MI,6,2014,"Las Vegas, NV",Original,1/6/2014,1/8/2014,Consumer Electronics Association
500010909,Stephen Dwyer,"Hoyer, Steny",MD,5,2014,"Las Vegas, NV",Original,1/5/2014,1/8/2014,Consumer Electronics Association
500010910,Jena Gross,"Eshoo, Anna",CA,18,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,Consumer Electronics Association
500010911,Philip Murphy,"Doyle, Michael",PA,14,2014,"Las Vegas, NV",Original,1/7/2014,1/9/2014,Consumer Electronics Association
500010912,Edward F. McDonald,"Coble, Howard",NC,6,2014,"Las Vegas, NV",Original,1/7/2014,1/10/2014,Consumer Electronics Association
