"","X","Doc.ID","Filer.Name","Member.Name","State","District","Year","Destination","Filing.Type","Departure.Date","Return.Date","Travel.Sponsor","return_month","departure_month","destination_country","destination_city"
"1",1,500006929,"Austin Scott","Scott, Austin","GA",8,2012,"Taipei, Taiwan","Original","2012-01-02","2012-01-09","Fu Jen Catholic University",1,1,"TWN","Taipei"
"2",2,500006930,"John B. Reising","Scott, Austin","GA",8,2012,"Taipei, Taiwan","Original","2012-01-02","2012-01-09","Fu Jen Catholic University",1,1,"TWN","Taipei"
"3",3,500006931,"Jessica Robertson","Scott, Austin","GA",8,2012,"Taipei, Taiwan","Original","2012-01-02","2012-01-09","Fu Jen Catholic University",1,1,"TWN","Taipei"
"4",4,500006933,"Joseph Sheehy","Napolitano, Grace","CA",32,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"5",5,500006937,"Angela T. Rye","Cleaver, Emanuel","MO",5,2012,"Las Vegas, NV","Original","2012-01-09","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"6",6,500006938,"Joseph Wender","Markey, Edward J.","MA",5,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"7",7,500006939,"Bobby Cornett","Franks, Trent","AZ",8,2012,"Las Vegas, NV","Original","2012-01-09","2012-01-11","Consumer Electronics Association",1,1,"USA","Las Vegas"
"8",8,500006942,"Virgil A. Miller","Richmond, Cedric","LA",2,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-13","Consumer Electronics Association",1,1,"USA","Las Vegas"
"9",9,500006944,"David Skillman","Blumenauer, Earl","OR",3,2012,"Denver, CO","Original","2012-01-11","2012-01-13","Alliance To Save Energy",1,1,"USA","Denver"
"10",10,500006945,"I. Lanier Avant","Thompson, Bennie","MS",2,2012,"Las Vegas, NV","Original","2012-01-11","2012-01-13","Consumer Electronics Association (""CES"")",1,1,"USA","Las Vegas"
"11",11,500006946,"Benjamin Staub","Conyers, John","MI",13,2012,"Las Vegas, NV","Original","2012-01-09","2012-01-11","Consumer Electronics Association",1,1,"USA","Las Vegas"
"12",12,500006947,"Megan Spindel","Guthrie, Brett","KY",2,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"13",13,500006949,"Austin Weatherford","Kinzinger, Adam","IL",16,2012,"Las Vegas, NV","Original","2012-01-09","2012-01-11","Consumer Electronic Association",1,1,"USA","Las Vegas"
"14",14,500006950,"Brooke Ericson","Stearns, Cliff","FL",6,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"15",15,500006951,"Joshua Baggett","Kinzinger, Adam","IL",16,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"16",16,500006952,"Evan H. Bergwall, III","Stearns, Cliff","FL",6,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"17",17,500006955,"Michael Beckerman","Upton, Fred","MI",6,2012,"Las Vegas, NV","Original","2012-01-11","2012-01-13","Consumer Electronics Association",1,1,"USA","Las Vegas"
"18",18,500006956,"Jason Everett","Conyers, John","MI",13,2012,"Las Vegas, NV","Original","2012-01-09","2012-01-11","Consumer Electronics Association",1,1,"USA","Las Vegas"
"19",19,500006958,"Philip S. Barnett","Waxman, Henry A.","CA",33,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"20",20,500006960,"Joel David Grossman","Eshoo, Anna","CA",18,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"21",21,500006961,"Jacob Oster","Welch, Peter","VT",0,2012,"Denver, CO","Original","2012-01-11","2012-01-13","Alliance to Save Energy",1,1,"USA","Denver"
"22",22,500006962,"Jocelyn M. Griffin","Johnson, Henry","GA",4,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"23",23,500006963,"Norberto Salinas","Conyers, John","MI",13,2012,"Las Vegas, NV","Original","2012-01-07","2012-01-11","Consumer Electronics Association",1,1,"USA","Las Vegas"
"24",24,500006964,"Joel David Grossman","Eshoo, Anna","CA",18,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"25",25,500006965,"Norberto Salinas","Conyers, John","MI",13,2012,"Las Vegas, NV","Original","2012-01-07","2012-01-11","Consumer Electronics Association",1,1,"USA","Las Vegas"
"26",26,500006966,"Lee Terry","Terry, Lee","NE",2,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association (CEA)",1,1,"USA","Las Vegas"
"27",27,500006967,"Robert Cogan","Black, Diane","TN",6,2012,"Nashville, TN","Original","2012-01-18","2012-01-21","The Aspen Institute Education and Society Program",1,1,"USA","Nashville"
"28",28,500006968,"Tiffany McGuffee","Roe, David","TN",1,2012,"Nashville, TN","Original","2012-01-18","2012-01-20","Aspen Institute",1,1,"USA","Nashville"
"29",29,500006969,"Aaron Cutler","Upton, Fred","MI",6,2012,"Las Vegas, NV","Original","2012-01-11","2012-01-13","Consumer Electronics Association",1,1,"USA","Las Vegas"
"30",30,500006970,"Terri Glaze","Eshoo, Anna","CA",18,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
